epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.56,0.9247,1.10248,1.56675,0.90867,0.89209,0.78592,0.94224,0.65081,0.76505,0.6864,0.73794,0.46127,1.03175,0.85196,0.89251,0.83114,0.000468525,0.000468525,0.000468525
2,178.932,0.8415,0.80504,0.68871,0.87231,0.91795,0.88876,0.9437,0.66526,0.77792,0.79806,0.77734,0.49539,1.00632,0.77838,0.60991,0.85476,0.000929268,0.000929268,0.000929268
3,263.163,0.87402,0.81683,0.70037,0.8879,0.72817,0.67678,0.76656,0.5014,0.59643,0.59209,0.60595,0.31584,1.15086,1.14726,1.32588,0.90232,0.00137429,0.00137429,0.00137429
4,346.106,0.86897,0.80214,0.66545,0.89281,0.74907,0.57685,0.6645,0.38946,0.60946,0.45413,0.46932,0.22141,1.50929,1.90025,1.47368,1.19321,0.00135826,0.00135826,0.00135826
5,429.6,0.8244,0.7471,0.60882,0.87338,0.95896,0.896,0.95786,0.68294,0.79594,0.75805,0.76547,0.41918,0.98488,0.96694,0.58406,0.83914,0.00133469,0.00133469,0.00133469
6,511.435,0.77744,0.66107,0.54986,0.86369,0.92324,0.87986,0.95714,0.69873,0.84399,0.74792,0.81356,0.46964,0.91482,0.85063,0.53084,0.82985,0.00131111,0.00131111,0.00131111
7,596.334,0.7729,0.67182,0.54985,0.86447,0.93844,0.84492,0.9521,0.69044,0.80071,0.73831,0.76089,0.45162,0.9075,0.74259,0.56059,0.82503,0.00128753,0.00128753,0.00128753
8,678.427,0.72084,0.65714,0.5052,0.85053,0.93987,0.91381,0.97113,0.73394,0.83282,0.77314,0.807,0.49466,0.82712,0.69152,0.49433,0.81433,0.00126395,0.00126395,0.00126395
9,762.568,0.71305,0.61388,0.49309,0.85179,0.93024,0.91211,0.97134,0.74291,0.87021,0.83378,0.85572,0.54292,0.7992,0.70101,0.47872,0.81179,0.00124037,0.00124037,0.00124037
10,843.202,0.70157,0.63369,0.48347,0.84573,0.95128,0.93773,0.98218,0.74495,0.82777,0.82375,0.83376,0.50928,0.84005,0.71631,0.46495,0.81518,0.00121679,0.00121679,0.00121679
11,927.089,0.68131,0.58896,0.4593,0.84655,0.95832,0.92028,0.97711,0.74943,0.84943,0.81497,0.82278,0.49955,0.79951,0.65934,0.46686,0.814,0.00119322,0.00119322,0.00119322
12,1010.04,0.64554,0.58247,0.4452,0.83571,0.95186,0.92748,0.98118,0.75655,0.82465,0.8358,0.82539,0.50995,0.83255,0.66486,0.45684,0.80783,0.00116964,0.00116964,0.00116964
13,1092.85,0.63306,0.579,0.43954,0.83802,0.98274,0.9224,0.97678,0.77519,0.84697,0.85096,0.85478,0.53845,0.75464,0.65198,0.43478,0.79368,0.00114606,0.00114606,0.00114606
14,1173.33,0.63739,0.57055,0.42941,0.8418,0.95739,0.93933,0.98021,0.75666,0.8365,0.82083,0.81226,0.52896,0.77982,0.64765,0.43337,0.80814,0.00112248,0.00112248,0.00112248
15,1257.95,0.62031,0.58983,0.42313,0.83113,0.9513,0.9393,0.9879,0.79041,0.84039,0.8583,0.85314,0.54779,0.70172,0.72023,0.43044,0.80025,0.0010989,0.0010989,0.0010989
16,1339.83,0.6188,0.5532,0.41574,0.83274,0.94763,0.94445,0.97865,0.77159,0.83196,0.85041,0.83767,0.51623,0.71976,0.73895,0.42031,0.80388,0.00107532,0.00107532,0.00107532
17,1423.58,0.61114,0.53679,0.41662,0.83117,0.9749,0.90668,0.98,0.74715,0.84152,0.75511,0.77737,0.50152,0.83932,0.67779,0.46298,0.81443,0.00105174,0.00105174,0.00105174
18,1506.88,0.60727,0.5712,0.40816,0.83006,0.97177,0.93519,0.97975,0.76563,0.86726,0.83246,0.8401,0.53205,0.78641,0.63859,0.44991,0.80322,0.00102817,0.00102817,0.00102817
19,1589.35,0.61727,0.56113,0.41609,0.82971,0.95003,0.92711,0.97734,0.77199,0.80366,0.79181,0.79492,0.52621,0.73805,0.63596,0.41455,0.80369,0.00100459,0.00100459,0.00100459
